repo,api_type,response_time_ms,response_size_bytes,num_requests,status,error_message
ant-design/ant-design,GraphQL,2250.262700021267,35877,1,success,
pallets/flask,GraphQL,1442.4396000104025,11875,1,success,
facebook/react,GraphQL,2142.07120006904,38190,1,success,
pytorch/pytorch,GraphQL,2350.6270999787375,41004,1,success,
getify/You-Dont-Know-JS,REST,5342.505400069058,284419,5,success,
tensorflow/tensorflow,REST,5807.470900239423,1440126,5,success,
jwasham/coding-interview-university,GraphQL,1498.1021001003683,22290,1,success,
pallets/flask,GraphQL,1327.838800032623,11875,1,success,
microsoft/vscode,REST,7881.443800055422,1882936,5,success,
tensorflow/tensorflow,REST,6041.7706000152975,1440126,5,success,
